Title,Uploader,Dislikes(millions),Dislikes(%)
Sadak 2 Trailer,Star Studios,13.667,94.86
Can this video get 1 million dislikes?,PewDiePie,5.72,93.72
YouTube Rewind 2018: Everyone Controls Rewind,YouTube,19.943,86.6
Mr. Faisus Exploring Shillong,Faisal Shaikh,3.83,86.3
Call of Duty: Infinite Warfare Reveal Trailer,Call of Duty,3.965,85.93
How It Is (Wap Bap),Bianca Claen,3.314,84.54
Friday,Rebecca Black,4.078,74.56
YouTube Rewind 2019: For the Record,YouTube,9.587,73.3
Flores,Vitao and Luisa Sonza,5.534,69.15
Its Everyday Bro,Jake Paul featuring Team 10,5.462,63.56
Wheels on the Bus | Mother Goose Club Playhouse Kids Video,Mother Goose Club Playhouse,4.442,45.2
Chal Chal Gurram,Infobells Telugu,5.425,44.19
"D Billions - Shake, shake your body! Clap, Clap, Cha Cha Cha!",D Billions,4.485,43.89
Twinkle Twinkle Little Star,Cocomelon - Nursery Rhymes,3.728,43.87
Old MacDonald Had a Farm - Kids nursery rhymes,Bounce Patrol - Kids Songs,6.153,43.33
Baa Baa Black Sheep,Cocomelon - Nursery Rhymes,5.528,43.12
Humpty the train on a fruits ride,Kiddiestv Hindi,6.194,43.01
Lakdi ki kathi,Jingle Toons,7.244,42.75
No No Bedtime Song,Cocomelon - Nursery Rhymes,2.775,42.38
This Is The Way,Super Simple Songs,3.57,42.35
Bath Song,Cocomelon - Nursery Rhymes,8.941,41.87
Yummy Fruits & Vegetables | D Billions Kids Songs,D Billions,3.099,41.63
Yes Yes Playground Song,Cocomelon - Nursery Rhymes,2.564,41.36
Keysha Play Filling Water in Balloons Daddy Finger Nursery Rhymes | Learn Colors With Balloons,Zuni and Family,5.773,41.32
Baby Shark,Cocomelon - Nursery Rhymes,3.343,41.27
Wheels on the Bus + More Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,3.03,41.04
Johny Johny Yes Papa,LooLoo Kids,11.954,40.76
Bath Song + More Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,3.351,40.74
Wheels on the Bus,Cocomelon - Nursery Rhymes,6.9,40.7
Yes Yes Vegetables Song + More Nursery Rhymes & Kids Songs - CoComelon,Cocomelon - Nursery Rhymes,3.34,40.13
Learning Colors - Colorful Eggs on a Farm,M TB,8.436,39.78
Beach Song + More Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,3.07,39.66
Nani Teri Morni Ko Mor Le Gaye,Jingle Toons,3.088,39.66
Yes Yes Vegetables Song,Cocomelon - Nursery Rhymes,3.946,39.62
Baby,Justin Bieber featuring Ludacris,12.476,38.26
LA VACA LOLA canciones infantiles,toycantando,3.629,37.33
Masha and the Bear: Recipe for Disaster,Get Movies,4.273,35.59
UPA CAVALINHO,Galinha Pintadinha,2.871,32.76
Baby Shark Dance,Pinkfong Kids Songs & Stories,14.972,31.7
Dame Tu Cosita,El Chombo featuring Cutty Ranks,5.173,25.64
Gangnam Style,Psy,2.899,10.99
Despacito,Luis Fonsi featuring Daddy Yankee,5.216,9.97
